"participant","condition","condition_numeric","session_number","gender","age","rand_int","rand_slope_cond","rand_slope_order","error_term","time"
"p01","control",0,2,"female","15",2.04461318710631,0.111091458210707,0.171855265911832,0.0619037010419797,11.450227419972
"p01","support",1,1,"female","15",2.04461318710631,0.111091458210707,0.171855265911832,0.0740545192868903,11.4016144305157
"p02","control",0,2,"male","17",-2.9356418819023,0.405135070688359,-0.428720118102807,-0.0837318896131962,5.12318599227889
"p02","support",1,1,"male","17",-2.9356418819023,0.405135070688359,-0.428720118102807,-0.188595721583159,5.85217734910009
"p03","control",0,1,"male","17",-0.221162678771722,-0.753829592337951,-0.0140034417024391,-0.0492192312456295,7.21561464828021
"p03","support",1,2,"male","17",-0.221162678771722,-0.753829592337951,-0.0140034417024391,-0.0174872228419144,9.47951362264353
"p04","control",0,1,"male","17",2.47239769947319,-0.368840585565717,1.3539218396868,-0.0612698985106951,11.2650496406493
"p04","support",1,2,"male","17",2.47239769947319,-0.368840585565717,1.3539218396868,0.0209520339413601,15.3323528272224
"p05","control",0,1,"male","16",1.6432443153109,-0.0861091719770982,0.776245101865403,0.0251147106429397,9.94460412781924
"p05","support",1,2,"male","16",1.6432443153109,-0.0861091719770982,0.776245101865403,0.0596513812630351,13.6692767283276
"p06","control",0,2,"male","17",-0.533839950359905,0.512921135842482,0.0498815487599848,-0.124505443607508,8.44141770355256
"p06","support",1,1,"male","17",-0.533839950359905,0.512921135842482,0.0498815487599848,-0.129984460368975,8.89897827387359
"p07","control",0,2,"male","16",-0.856868723426835,1.14145880731296,0.659933030099533,0.0155339190235631,9.47853125579579
"p07","support",1,1,"male","16",-0.856868723426835,1.14145880731296,0.659933030099533,-0.0685680430308537,9.87595507095481
"p08","control",0,1,"male","16",-3.90917977729237,0.0507203771083662,1.25513337575794,0.109810031563942,4.95576363002951
"p08","support",1,2,"male","16",-3.90917977729237,0.0507203771083662,1.25513337575794,0.0489829831392525,9.20079033447113
"p09","control",0,2,"male","15",1.29922431843545,0.446312895563754,-0.166410605737483,-0.146457917537625,9.81994518942286
"p09","support",1,1,"male","15",1.29922431843545,0.446312895563754,-0.166410605737483,-0.0427308193213901,10.5363957889403
"p10","control",0,2,"male","18",0.623776006821755,0.00482902735544248,-0.344875732272998,0.152651651576351,9.08667619385211
"p10","support",1,1,"male","18",0.623776006821755,0.00482902735544248,-0.344875732272998,0.0637004976564158,9.34742979956062
"p11","control",0,1,"male","15",1.06171367872265,1.12767271692995,-0.320963606253286,0.1104010208002,8.35115109326956
"p11","support",1,2,"male","15",1.06171367872265,1.12767271692995,-0.320963606253286,0.0517294696388691,12.0991886527849
"p12","control",0,1,"male","16",3.85834925628229,-0.804546235736699,0.118605160838146,-0.0872240552836029,11.3897303618368
"p12","support",1,2,"male","16",3.85834925628229,-0.804546235736699,0.118605160838146,-0.0204474332081448,13.7705659090137
"p13","control",0,1,"female","18",0.843873274386112,-0.529997317044251,-0.176739338624697,0.249897945102296,8.41703188086371
"p13","support",1,2,"female","18",0.843873274386112,-0.529997317044251,-0.176739338624697,0.171275926473655,10.6316732065661
"p14","control",0,1,"female","15",-0.694013130801562,0.183648050905075,0.300945666683772,0.00397068808791641,7.11090322397013
"p14","support",1,2,"female","15",-0.694013130801562,0.183648050905075,0.300945666683772,-0.0299973347889668,10.5615289186821
"p15","control",0,1,"male","15",0.416146012920695,0.125191973048882,-0.6779911606052,0.0477893358145856,7.28594418813008
"p15","support",1,2,"male","15",0.416146012920695,0.125191973048882,-0.6779911606052,0.0933131259740384,9.77866879073322
"p16","control",0,2,"male","16",-2.58893959449184,-0.499744944542556,-0.0513413077329098,-0.00160353218388366,6.30677425785845
"p16","support",1,1,"male","16",-2.58893959449184,-0.499744944542556,-0.0513413077329098,0.146274783482754,6.00624893671545
"p17","control",0,2,"male","18",-0.701138323189364,-0.285632692855478,0.581143925500789,-0.0641107781079241,9.39703874970429
"p17","support",1,1,"male","18",-0.701138323189364,-0.285632692855478,0.581143925500789,0.201902262170082,8.79627517162603
"p18","control",0,2,"male","15",2.40874432789376,-0.509828962822245,0.460240389293786,-0.0579744868722069,12.2712506196091
"p18","support",1,1,"male","15",2.40874432789376,-0.509828962822245,0.460240389293786,-0.109407502611771,11.2497482517535
"p19","control",0,1,"male","15",-2.00877154825868,-0.141715207644865,-2.0478281908776,0.0216860869744621,3.46508634783819
