"participant","condition","condition_numeric","session_number","time","rand_int","rand_slope_cond","rand_slope_order","rand_slope_time","rand_slope_interaction","error_term","effort"
"p01","control",0,1,1,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0827071809066898,2
"p01","control",0,1,2,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0168311647853144,2
"p01","control",0,1,3,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0288376722091284,2
"p01","control",0,1,4,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.057815546474682,2
"p01","control",0,1,5,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.144879923702019,2
"p01","control",0,1,6,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.111212621919618,3
"p01","control",0,1,7,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0214137230576918,3
"p01","control",0,1,8,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.00119596853054049,3
"p01","control",0,1,9,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0746019528122932,3
"p01","control",0,1,10,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0249049067407275,4
"p01","control",0,1,11,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.050082016770445,4
"p01","control",0,1,12,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.259857198719124,4
"p01","control",0,1,13,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.136136546231941,4
"p01","control",0,1,14,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0314538697373978,5
"p01","control",0,1,15,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.101091824559161,5
"p01","control",0,1,16,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0987736738462621,5
"p01","control",0,1,17,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0400252970574851,5
"p01","control",0,1,18,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.167791712873499,6
"p01","control",0,1,19,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0203231327116829,6
"p01","control",0,1,20,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.00692955095512824,6
"p01","control",0,1,21,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.125611605351661,6
"p01","control",0,1,22,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.126334126319556,6
"p01","control",0,1,23,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0739722391512241,7
"p01","control",0,1,24,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.178773554660631,7
"p01","support",1,2,1,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0844235343532595,1
"p01","support",1,2,2,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.00200288727543159,2
"p01","support",1,2,3,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0203500130135295,2
"p01","support",1,2,4,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0344848746870113,2
"p01","support",1,2,5,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0135973314500631,2
"p01","support",1,2,6,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0173728550252735,2
"p01","support",1,2,7,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0555610277174709,3
"p01","support",1,2,8,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0548144831245437,3
"p01","support",1,2,9,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.00384313256648384,3
"p01","support",1,2,10,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.103947765032666,3
"p01","support",1,2,11,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.18453861037239,3
"p01","support",1,2,12,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.0104531918307668,4
"p01","support",1,2,13,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0315645610868434,4
"p01","support",1,2,14,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0172284789208988,4
"p01","support",1,2,15,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.10814817618113,4
"p01","support",1,2,16,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0910503094846057,4
"p01","support",1,2,17,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.00100508938073518,5
"p01","support",1,2,18,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.158890289482331,5
"p01","support",1,2,19,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.018555898964437,5
"p01","support",1,2,20,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.000101298019148766,5
"p01","support",1,2,21,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0367225103053571,5
"p01","support",1,2,22,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0854758700999974,5
"p01","support",1,2,23,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,-0.0244242725893461,6
"p01","support",1,2,24,0.300838661295688,-0.210730290269463,0.0437481948082511,-0.0702681739407043,0.00516357128555732,0.187747779392537,6
"p02","control",0,1,1,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.0257392520834521,1
"p02","control",0,1,2,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.0443071018261775,2
"p02","control",0,1,3,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.107340539528331,2
"p02","control",0,1,4,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.0347027291279442,2
"p02","control",0,1,5,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.132844083588833,3
"p02","control",0,1,6,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.177411516883677,2
"p02","control",0,1,7,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.0624800900660084,3
"p02","control",0,1,8,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.0869677497288445,3
"p02","control",0,1,9,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.0424001342492835,4
"p02","control",0,1,10,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.0745194844482229,4
"p02","control",0,1,11,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.0224247918417999,4
"p02","control",0,1,12,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.0401018631924571,4
"p02","control",0,1,13,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.0687754384313792,5
"p02","control",0,1,14,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.0742971509919156,5
"p02","control",0,1,15,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.132298564961691,5
"p02","control",0,1,16,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.137310803596568,5
"p02","control",0,1,17,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.00465326124244995,6
"p02","control",0,1,18,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.064375497311293,6
"p02","control",0,1,19,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.00824430716052062,6
"p02","control",0,1,20,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,0.0510233668654746,7
"p02","control",0,1,21,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.107041422356115,7
"p02","control",0,1,22,-0.0533519751873932,0.255368029897908,0.00805482268470725,-0.015238376323733,0.00775819803684019,-0.0697514918019617,7
